Name,Old_Name,Entrez_Symbol,Entrez_symbol_from_nomenclature_authority,Entrez_full_name_from_NA,Gene,HGNC_name,HGNC_prev_name,HGNC_alias_name,HGNC_alias_symbol,uniprot_recommended_name,uniprot_alternative_names,uniprot_gene_names,uniprot_gene_synonyms,NCBI_nomenclaturename,NCBI_otheraliases
"""RET""","""RET""","""RET""","""RET""","""ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)""","""RET""","""ret proto-oncogene""","""multiple endocrine neoplasia and medullary thyroid carcinoma 1"", ""Hirschsprung disease 1""","""cadherin-related family member 16"", ""RET receptor tyrosine kinase"", ""rearranged during transfection""","""PTC"", ""CDHF12"", ""RET51"", ""CDHR16""","""Proto-oncogene tyrosine-protein kinase receptor Ret""","""Cadherin family member 12"", ""Proto-oncogene c-Ret""","""RET""","""CDHF12"", ""CDHR16"", ""PTC""","""ret proto-oncogene""","""CDHF12"", ""CDHR16"", ""HSCR1"", ""MEN2A"", ""MEN2B"", ""MTC1"", ""PTC"", ""RET-ELE1"""
"""ROR1""","""ROR1""","""ROR1""","""ROR1""","""receptor tyrosine kinase-like orphan receptor 1""","""ROR1""","""receptor tyrosine kinase like orphan receptor 1""",,,,"""Inactive tyrosine-protein kinase transmembrane receptor ROR1""","""Neurotrophic tyrosine kinase, receptor-related 1""","""ROR1""","""NTRKR1""","""receptor tyrosine kinase like orphan receptor 1""","""NTRKR1"", ""dJ537F10.1"""
"""ROR2""","""ROR2""","""ROR2""","""ROR2""","""receptor tyrosine kinase-like orphan receptor 2""","""ROR2""","""receptor tyrosine kinase like orphan receptor 2""","""receptor tyrosine kinase-like orphan receptor 2""",,,"""Tyrosine-protein kinase transmembrane receptor ROR2""","""Neurotrophic tyrosine kinase, receptor-related 2""","""ROR2""","""NTRKR2""","""receptor tyrosine kinase like orphan receptor 2""","""BDB"", ""BDB1"", ""NTRKR2"""
"""RYK""","""RYK""","""RYK""","""RYK""","""RYK receptor-like tyrosine kinase""","""RYK""","""receptor like tyrosine kinase""","""JTK5A protein tyrosine kinase"", ""RYK receptor-like tyrosine kinase""",,"""D3S3195"", ""RYK1"", ""JTK5""","""Tyrosine-protein kinase RYK""",,"""RYK""","""JTK5A""","""receptor like tyrosine kinase""","""D3S3195"", ""JTK5"", ""JTK5A"", ""RYK1"""
"""ROS""","""ROS""","""ROS1""","""ROS1""","""v-ros UR2 sarcoma virus oncogene homolog 1 (avian)""","""ROS1""","""ROS proto-oncogene 1, receptor tyrosine kinase""","""v-ros avian UR2 sarcoma virus oncogene homolog 1"", ""v-ros UR2 sarcoma virus oncogene homolog 1 (avian)"", ""c-ros oncogene 1 , receptor tyrosine kinase""",,"""MCF3"", ""ROS"", ""c-ros-1""","""Proto-oncogene tyrosine-protein kinase ROS""","""Proto-oncogene c-Ros"", ""Proto-oncogene c-Ros-1"", ""Receptor tyrosine kinase c-ros oncogene 1"", ""c-Ros receptor tyrosine kinase""","""ROS1""","""MCF3"", ""ROS""","""ROS proto-oncogene 1, receptor tyrosine kinase""","""MCF3"", ""ROS"", ""c-ros-1"""
"""FRK""","""FRK""","""FRK""","""FRK""","""fyn-related kinase""","""FRK""","""fyn related Src family tyrosine kinase""","""PTK5 protein tyrosine kinase 5"", ""fyn-related kinase"", ""fyn-related Src family tyrosine kinase""",,"""RAK"", ""GTK""","""Tyrosine-protein kinase FRK""","""FYN-related kinase"", ""Nuclear tyrosine protein kinase RAK"", ""Protein-tyrosine kinase 5""","""FRK""","""PTK5"", ""RAK""","""fyn related Src family tyrosine kinase""","""GTK"", ""PTK5"", ""RAK"""
"""FGR""","""FGR""","""FGR""","""FGR""","""Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog""","""FGR""","""FGR proto-oncogene, Src family tyrosine kinase""","""Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog"", ""v-fgr feline Gardner-Rasheed sarcoma viral oncogene homolog"", ""feline Gardner-Rasheed sarcoma viral oncogene homolog""",,"""c-fgr"", ""p55c-fgr""","""Tyrosine-protein kinase Fgr""","""Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog"", ""Proto-oncogene c-Fgr"", ""p55-Fgr"", ""p58-Fgr"", ""p58c-Fgr""","""FGR""","""SRC2""","""FGR proto-oncogene, Src family tyrosine kinase""","""SRC2"", ""c-fgr"", ""c-src2"", ""p55-Fgr"", ""p55c-fgr"", ""p58-Fgr"", ""p58c-fgr"""
"""FYN""","""FYN""","""FYN""","""FYN""","""FYN oncogene related to SRC, FGR, YES""","""FYN""","""FYN proto-oncogene, Src family tyrosine kinase""","""FYN oncogene related to SRC, FGR, YES""",,"""SYN"", ""SLK"", ""MGC45350""","""Tyrosine-protein kinase Fyn""","""Proto-oncogene Syn"", ""Proto-oncogene c-Fyn"", ""Src-like kinase"", ""p59-Fyn""","""FYN""",,"""FYN proto-oncogene, Src family tyrosine kinase""","""SLK"", ""SYN"", ""p59-FYN"""
"""SRC""","""SRC""","""SRC""","""SRC""","""v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)""","""SRC""","""SRC proto-oncogene, non-receptor tyrosine kinase""","""v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog""",,"""ASV"", ""c-src""","""Proto-oncogene tyrosine-protein kinase Src""","""Proto-oncogene c-Src"", ""pp60c-src""","""SRC""","""SRC1""","""SRC proto-oncogene, non-receptor tyrosine kinase""","""ASV"", ""SRC1"", ""THC6"", ""c-SRC"", ""p60-Src"""
"""YES""","""YES""","""YES1""","""YES1""","""v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1""","""YES1""","""YES proto-oncogene 1, Src family tyrosine kinase""","""v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1""",,"""Yes"", ""c-yes"", ""HsT441""","""Tyrosine-protein kinase Yes""","""Proto-oncogene c-Yes"", ""p61-Yes""","""YES1""","""YES""","""YES proto-oncogene 1, Src family tyrosine kinase""","""HsT441"", ""P61-YES"", ""Yes"", ""c-yes"""
"""BLK""","""BLK""","""BLK""","""BLK""","""B lymphoid tyrosine kinase""","""BLK""","""BLK proto-oncogene, Src family tyrosine kinase""","""B lymphoid tyrosine kinase""",,"""MGC10442""","""Tyrosine-protein kinase Blk""","""B lymphocyte kinase"", ""p55-Blk""","""BLK""",,"""BLK proto-oncogene, Src family tyrosine kinase""","""MODY11"""
"""HCK""","""HCK""","""HCK""","""HCK""","""hemopoietic cell kinase""","""HCK""","""HCK proto-oncogene, Src family tyrosine kinase""","""hemopoietic cell kinase""",,"""JTK9""","""Tyrosine-protein kinase HCK""","""Hematopoietic cell kinase"", ""Hemopoietic cell kinase"", ""p59-HCK/p60-HCK"", ""p59Hck"", ""p61Hck""","""HCK""",,"""HCK proto-oncogene, Src family tyrosine kinase""","""AIPCV"", ""JTK9"", ""p59Hck"", ""p61Hck"""
"""LCK""","""LCK""","""LCK""","""LCK""","""lymphocyte-specific protein tyrosine kinase""","""LCK""","""LCK proto-oncogene, Src family tyrosine kinase""","""lymphocyte-specific protein tyrosine kinase""",,,"""Tyrosine-protein kinase Lck""","""Leukocyte C-terminal Src kinase"", ""Lymphocyte cell-specific protein-tyrosine kinase"", ""Protein YT16"", ""Proto-oncogene Lck"", ""T cell-specific protein-tyrosine kinase"", ""p56-LCK""","""LCK""",,"""LCK proto-oncogene, Src family tyrosine kinase""","""IMD22"", ""LSK"", ""YT16"", ""p56lck"", ""pp58lck"""
"""LYN""","""LYN""","""LYN""","""LYN""","""v-yes-1 Yamaguchi sarcoma viral related oncogene homolog""","""LYN""","""LYN proto-oncogene, Src family tyrosine kinase""","""v-yes-1 Yamaguchi sarcoma viral related oncogene homolog""",,"""JTK8""","""Tyrosine-protein kinase Lyn""","""Lck/Yes-related novel protein tyrosine kinase"", ""V-yes-1 Yamaguchi sarcoma viral related oncogene homolog"", ""p53Lyn"", ""p56Lyn""","""LYN""","""JTK8""","""LYN proto-oncogene, Src family tyrosine kinase""","""JTK8"", ""SAIDV"", ""p53Lyn"", ""p56Lyn"""
"""BRK""","""BRK""","""PTK6""","""PTK6""","""PTK6 protein tyrosine kinase 6""","""PTK6""","""protein tyrosine kinase 6""","""PTK6 protein tyrosine kinase 6""",,"""BRK""","""Protein-tyrosine kinase 6""","""Breast tumor kinase"", ""Tyrosine-protein kinase BRK""","""PTK6""","""BRK""","""protein tyrosine kinase 6""","""BRK"""
"""SRM""","""SRM""","""SRMS""","""SRMS""","""src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites""","""SRMS""","""src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites""","""chromosome 20 open reading frame 148""",,"""SRM"", ""dJ697K14.1"", ""PTK70""","""Tyrosine-protein kinase Srms""",,"""SRMS""","""C20orf148""","""src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites""","""C20orf148"", ""PTK70"", ""SRM"", ""dJ697K14.1"""
"""SYK""","""SYK""","""SYK""","""SYK""","""spleen tyrosine kinase""","""SYK""","""spleen associated tyrosine kinase""","""spleen tyrosine kinase""",,,"""Tyrosine-protein kinase SYK""","""Spleen tyrosine kinase"", ""p72-Syk""","""SYK""",,"""spleen associated tyrosine kinase""","""IMD82"", ""p72-Syk"""
"""ZAP70""","""ZAP70""","""ZAP70""","""ZAP70""","""zeta-chain (TCR) associated protein kinase 70kDa""","""ZAP70""","""zeta chain of T cell receptor associated protein kinase 70""","""SRK""","""tyrosine-protein kinase ZAP-70""","""ZAP-70"", ""STD""","""Tyrosine-protein kinase ZAP-70""","""70 kDa zeta-chain associated protein"", ""Syk-related tyrosine kinase""","""ZAP70""","""SRK""","""zeta chain of T cell receptor associated protein kinase 70""","""ADMIO2"", ""IMD48"", ""SRK"", ""STCD"", ""STD"", ""TZK"", ""ZAP-70"""
"""BMX""","""BMX""","""BMX""","""BMX""","""BMX non-receptor tyrosine kinase""","""BMX""","""BMX non-receptor tyrosine kinase""",,"""BTK-like on X chromosome""","""ETK"", ""PSCTK3""","""Cytoplasmic tyrosine-protein kinase BMX""","""Bone marrow tyrosine kinase gene in chromosome X protein"", ""Epithelial and endothelial tyrosine kinase"", ""NTK38""","""BMX""",,"""BMX non-receptor tyrosine kinase""","""ETK"", ""PSCTK2"", ""PSCTK3"""
"""BTK""","""BTK""","""BTK""","""BTK""","""Bruton agammaglobulinemia tyrosine kinase""","""BTK""","""Bruton tyrosine kinase""","""Bruton agammaglobulinemia tyrosine kinase""","""Bruton's tyrosine kinase""","""ATK"", ""XLA"", ""PSCTK1""","""Tyrosine-protein kinase BTK""","""Agammaglobulinemia tyrosine kinase"", ""B-cell progenitor kinase"", ""Bruton tyrosine kinase""","""BTK""","""AGMX1"", ""ATK"", ""BPK""","""Bruton tyrosine kinase""","""AGMX1"", ""AT"", ""ATK"", ""BPK"", ""IGHD3"", ""IMD1"", ""PSCTK1"", ""XLA"""
"""ITK""","""ITK""","""ITK""","""ITK""","""IL2-inducible T-cell kinase""","""ITK""","""IL2 inducible T cell kinase""","""IL2-inducible T-cell kinase"", ""IL2 inducible T-cell kinase""",,"""EMT"", ""PSCTK2"", ""LYK""","""Tyrosine-protein kinase ITK/TSK""","""Interleukin-2-inducible T-cell kinase"", ""Kinase EMT"", ""T-cell-specific kinase"", ""Tyrosine-protein kinase Lyk""","""ITK""","""EMT"", ""LYK""","""IL2 inducible T cell kinase""","""EMT"", ""LPFS1"", ""LYK"", ""PSCTK2"""
"""TEC""","""TEC""","""TEC""","""TEC""","""tec protein tyrosine kinase""","""TEC""","""tec protein tyrosine kinase""",,,"""PSCTK4""","""Tyrosine-protein kinase Tec""",,"""TEC""","""PSCTK4""","""tec protein tyrosine kinase""","""PSCTK4"""
"""TXK""","""TXK""","""TXK""","""TXK""","""TXK tyrosine kinase""","""TXK""","""TXK tyrosine kinase""","""PTK4 protein tyrosine kinase 4""",,"""TKL"", ""PSCTK5"", ""BTKL"", ""RLK""","""Tyrosine-protein kinase TXK""","""Protein-tyrosine kinase 4"", ""Resting lymphocyte kinase""","""TXK""","""PTK4"", ""RLK""","""TXK tyrosine kinase""","""BTKL"", ""PSCTK5"", ""PTK4"", ""RLK"", ""TKL"""
"""TIE2""","""TIE2""","""TEK""","""TEK""","""TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)""","""TEK""","""TEK receptor tyrosine kinase""","""venous malformations, multiple cutaneous and mucosal"", ""TEK tyrosine kinase, endothelial""","""angiopoietin-1 receptor""","""TIE2"", ""TIE-2"", ""VMCM1"", ""CD202b""","""Angiopoietin-1 receptor""","""Endothelial tyrosine kinase"", ""Tunica interna endothelial cell kinase"", ""Tyrosine kinase with Ig and EGF homology domains-2"", ""Tyrosine-protein kinase receptor TEK"", ""Tyrosine-protein kinase receptor TIE-2"", ""p140 TEK""","""TEK""","""TIE2"", ""VMCM"", ""VMCM1""","""TEK receptor tyrosine kinase""","""CD202B"", ""GLC3E"", ""TIE-2"", ""TIE2"", ""VMCM"", ""VMCM1"""
"""TIE1""","""TIE1""","""TIE1""","""TIE1""","""tyrosine kinase with immunoglobulin-like and EGF-like domains 1""","""TIE1""","""tyrosine kinase with immunoglobulin like and EGF like domains 1""","""tyrosine kinase with immunoglobulin and epidermal growth factor homology domains 1"", ""tyrosine kinase with immunoglobulin-like and EGF-like domains 1""",,"""JTK14""","""Tyrosine-protein kinase receptor Tie-1""",,"""TIE1""","""TIE""","""tyrosine kinase with immunoglobulin like and EGF like domains 1""","""JTK14"", ""LMPHM11"", ""TIE"""
"""SuRTK106""","""SuRTK106""","""STYK1""","""STYK1""","""serine/threonine/tyrosine kinase 1""","""STYK1""","""serine/threonine/tyrosine kinase 1""",,,"""SuRTK106"", ""DKFZp761P1010"", ""NOK""","""Tyrosine-protein kinase STYK1""","""Novel oncogene with kinase domain"", ""Protein PK-unique"", ""Serine/threonine/tyrosine kinase 1""","""STYK1""","""NOK""","""serine/threonine/tyrosine kinase 1""","""NOK"", ""SuRTK106"""
"""TRKA""","""TRKA""","""NTRK1""","""NTRK1""","""neurotrophic tyrosine kinase, receptor, type 1""","""NTRK1""","""neurotrophic receptor tyrosine kinase 1""","""neurotrophic tyrosine kinase, receptor, type 1""","""high affinity nerve growth factor receptor"", ""tropomyosin receptor kinase A""","""TRK"", ""TRKA"", ""MTC""","""High affinity nerve growth factor receptor""","""Neurotrophic tyrosine kinase receptor type 1"", ""TRK1-transforming tyrosine kinase protein"", ""Tropomyosin-related kinase A"", ""Tyrosine kinase receptor"", ""Tyrosine kinase receptor A"", ""gp140trk"", ""p140-TrkA""","""NTRK1""","""MTC"", ""TRK"", ""TRKA""","""neurotrophic receptor tyrosine kinase 1""","""MTC"", ""TRK"", ""TRK1"", ""TRKA"", ""Trk-A"", ""p140-TrkA"""
"""TRKB""","""TRKB""","""NTRK2""","""NTRK2""","""neurotrophic tyrosine kinase, receptor, type 2""","""NTRK2""","""neurotrophic receptor tyrosine kinase 2""","""neurotrophic tyrosine kinase, receptor, type 2""","""BDNF/NT-3 growth factors receptor""","""TRKB""","""BDNF/NT-3 growth factors receptor""","""GP145-TrkB"", ""Neurotrophic tyrosine kinase receptor type 2"", ""TrkB tyrosine kinase"", ""Tropomyosin-related kinase B""","""NTRK2""","""TRKB""","""neurotrophic receptor tyrosine kinase 2""","""DEE58"", ""EIEE58"", ""GP145-TrkB"", ""OBHD"", ""TRKB"", ""trk-B"""
"""TRKC""","""TRKC""","""NTRK3""","""NTRK3""","""neurotrophic tyrosine kinase, receptor, type 3""","""NTRK3""","""neurotrophic receptor tyrosine kinase 3""","""neurotrophic tyrosine kinase, receptor, type 3""",,"""TRKC""","""NT-3 growth factor receptor""","""GP145-TrkC"", ""Neurotrophic tyrosine kinase receptor type 3"", ""TrkC tyrosine kinase""","""NTRK3""","""TRKC""","""neurotrophic receptor tyrosine kinase 3""","""GP145-TrkC"", ""TRKC"", ""gp145(trkC)"""
"""FLT1""","""FLT1""","""FLT1""","""FLT1""","""fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)""","""FLT1""","""fms related receptor tyrosine kinase 1""","""fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)"", ""fms-related tyrosine kinase 1"", ""fms related tyrosine kinase 1""","""vascular endothelial growth factor receptor 1"", ""vascular permeability factor receptor""","""VEGFR1""","""Vascular endothelial growth factor receptor 1""","""Fms-like tyrosine kinase 1"", ""Tyrosine-protein kinase FRT"", ""Tyrosine-protein kinase receptor FLT"", ""Vascular permeability factor receptor""","""FLT1""","""FLT"", ""FRT"", ""VEGFR1""","""fms related receptor tyrosine kinase 1""","""FLT"", ""FLT-1"", ""VEGFR-1"", ""VEGFR1"""
"""FLT4""","""FLT4""","""FLT4""","""FLT4""","""fms-related tyrosine kinase 4""","""FLT4""","""fms related receptor tyrosine kinase 4""","""fms-related tyrosine kinase 4"", ""fms related tyrosine kinase 4""","""vascular endothelial growth factor receptor 3"", ""VEGF receptor-3"", ""Feline McDonough Sarcoma (FMS)-like tyrosine kinase 4"", ""primary congenital lymphedema""","""VEGFR3"", ""PCL"", ""VEGFR-3""","""Vascular endothelial growth factor receptor 3""","""Fms-like tyrosine kinase 4"", ""Tyrosine-protein kinase receptor FLT4""","""FLT4""","""VEGFR3""","""fms related receptor tyrosine kinase 4""","""CHTD7"", ""FLT-4"", ""FLT41"", ""LMPH1A"", ""LMPHM1"", ""PCL"", ""VEGFR-3"", ""VEGFR3"""
"""KDR""","""KDR""","""KDR""","""KDR""","""kinase insert domain receptor (a type III receptor tyrosine kinase)""","""KDR""","""kinase insert domain receptor""","""kinase insert domain receptor (a type III receptor tyrosine kinase)""","""vascular endothelial growth factor receptor 2"", ""fetal liver kinase 1""","""FLK1"", ""VEGFR"", ""VEGFR2"", ""CD309""","""Vascular endothelial growth factor receptor 2""","""Fetal liver kinase 1"", ""Kinase insert domain receptor"", ""Protein-tyrosine kinase receptor flk-1""","""KDR""","""FLK1"", ""VEGFR2""","""kinase insert domain receptor""","""CD309"", ""FLK1"", ""VEGFR"", ""VEGFR2"""
"""IRAK1""","""IRAK1""","""IRAK1""","""IRAK1""","""interleukin-1 receptor-associated kinase 1""","""IRAK1""","""interleukin 1 receptor associated kinase 1""",,,"""IRAK"", ""pelle""","""Interleukin-1 receptor-associated kinase 1""",,"""IRAK1""","""IRAK""","""interleukin 1 receptor associated kinase 1""","""IRAK"", ""pelle"""
"""IRAK2""","""IRAK2""","""IRAK2""","""IRAK2""","""interleukin-1 receptor-associated kinase 2""","""IRAK2""","""interleukin 1 receptor associated kinase 2""",,,,"""Interleukin-1 receptor-associated kinase-like 2""",,"""IRAK2""",,"""interleukin 1 receptor associated kinase 2""","""IRAK-2"""
"""IRAK3""","""IRAK3""","""IRAK3""","""IRAK3""","""interleukin-1 receptor-associated kinase 3""","""IRAK3""","""interleukin 1 receptor associated kinase 3""","""interleukin-1 receptor-associated kinase 3""",,"""IRAK-M""","""Interleukin-1 receptor-associated kinase 3""","""IL-1 receptor-associated kinase M"", ""Inactive IL-1 receptor-associated kinase 3""","""IRAK3""",,"""interleukin 1 receptor associated kinase 3""","""ASRT5"", ""IRAKM"""
"""IRAK4""","""IRAK4""","""IRAK4""","""IRAK4""","""interleukin-1 receptor-associated kinase 4""","""IRAK4""","""interleukin 1 receptor associated kinase 4""",,,"""NY-REN-64""","""Interleukin-1 receptor-associated kinase 4""","""Renal carcinoma antigen NY-REN-64""","""IRAK4""",,"""interleukin 1 receptor associated kinase 4""","""IMD67"", ""IPD1"", ""IRAK-4"", ""NY-REN-64"", ""REN64"""
"""LIMK1""","""LIMK1""","""LIMK1""","""LIMK1""","""LIM domain kinase 1""","""LIMK1""","""LIM domain kinase 1""",,,"""LIMK""","""LIM domain kinase 1""",,"""LIMK1""","""LIMK""","""LIM domain kinase 1""","""LIMK"", ""LIMK-1"""
"""LIMK2""","""LIMK2""","""LIMK2""","""LIMK2""","""LIM domain kinase 2""","""LIMK2""","""LIM domain kinase 2""",,,,"""LIM domain kinase 2""",,"""LIMK2""",,"""LIM domain kinase 2""",
"""TESK1""","""TESK1""","""TESK1""","""TESK1""","""testis-specific kinase 1""","""TESK1""","""testis associated actin remodelling kinase 1""","""testis-specific kinase 1""","""testis specific kinase-1""",,"""Dual specificity testis-specific protein kinase 1""","""Testicular protein kinase 1""","""TESK1""",,"""testis associated actin remodelling kinase 1""",
"""TESK2""","""TESK2""","""TESK2""","""TESK2""","""testis-specific kinase 2""","""TESK2""","""testis associated actin remodelling kinase 2""","""testis-specific kinase 2""",,,"""Dual specificity testis-specific protein kinase 2""","""Testicular protein kinase 2""","""TESK2""",,"""testis associated actin remodelling kinase 2""",
"""LRRK1""","""LRRK1""","""LRRK1""","""LRRK1""","""leucine-rich repeat kinase 1""","""LRRK1""","""leucine rich repeat kinase 1""",,,"""FLJ23119"", ""KIAA1790"", ""ROCO1"", ""RIPK6""","""Leucine-rich repeat serine/threonine-protein kinase 1""",,"""LRRK1""","""KIAA1790""","""leucine rich repeat kinase 1""","""OSMD"", ""RIPK6"", ""Roco1"""
"""LRRK2""","""LRRK2""","""LRRK2""","""LRRK2""","""leucine-rich repeat kinase 2""","""LRRK2""","""leucine rich repeat kinase 2""","""Parkinson disease (autosomal dominant) 8""","""dardarin""","""ROCO2"", ""DKFZp434H2111"", ""FLJ45829"", ""RIPK7""","""Leucine-rich repeat serine/threonine-protein kinase 2""","""Dardarin""","""LRRK2""","""PARK8""","""leucine rich repeat kinase 2""","""AURA17"", ""DARDARIN"", ""PARK8"", ""RIPK7"", ""ROCO2"""
"""HH498""","""HH498""","""TNNI3K""","""TNNI3K""","""TNNI3 interacting kinase""","""TNNI3K""","""TNNI3 interacting kinase""",,,"""CARK""","""Serine/threonine-protein kinase TNNI3K""","""Cardiac ankyrin repeat kinase"", ""Cardiac troponin I-interacting kinase"", ""TNNI3-interacting kinase""","""TNNI3K""","""CARK""","""TNNI3 interacting kinase""","""CARK"", ""CCDD"""
"""ILK""","""ILK""","""ILK""","""ILK""","""integrin-linked kinase""","""ILK""","""integrin linked kinase""","""integrin-linked kinase""",,,"""Scaffold protein ILK""","""ILK-1"", ""ILK-2"", ""Inactive integrin-linked kinase"", ""p59ILK""","""ILK""","""ILK1"", ""ILK2""","""integrin linked kinase""","""HEL-S-28"", ""ILK-1"", ""ILK-2"", ""P59"", ""p59ILK"""
"""DLK""","""DLK""","""MAP3K12""","""MAP3K12""","""mitogen-activated protein kinase kinase kinase 12""","""MAP3K12""","""mitogen-activated protein kinase kinase kinase 12""",,"""dual leucine zipper kinase DLK""","""MUK"", ""DLK"", ""ZPKP1"", ""MEKK12""","""Mitogen-activated protein kinase kinase kinase 12""","""Dual leucine zipper bearing kinase"", ""Leucine-zipper protein kinase"", ""MAPK-upstream kinase"", ""Mixed lineage kinase""","""MAP3K12""","""ZPK""","""mitogen-activated protein kinase kinase kinase 12""","""DLK"", ""HP09298"", ""MEKK12"", ""MUK"", ""ZPK"", ""ZPKP1"""
